x,y,snap_a,snap_b,error,chamber
2.166111487331500,-1.549280051243610,1,-2,0.2469780873,1
-4.242945757987680,-4.849803846230800,-7,-6,0.4230602531,5
-1.805440963799510,4.675098769198380,1,5,0.4607599059,2
-4.894400757506470,-4.470696979142560,-7,-5,0.4187026048,5
1.178815804523950,-4.169993864673610,-1,-5,0.3588898362,4
1.357453069357040,0.639964927270557,2,1,0.2672507558,0
3.402787813248610,-3.347014694890280,1,-4,0.4194608079,4
-0.287889832663127,-1.268551504966610,-1,-1,0.4549922914,4
3.195492189115900,1.382157764534760,4,2,0.4008021177,0
-2.360727943342070,0.362813509924541,-2,0,0.5116231935,5
-3.934044140310650,2.825099689957020,-2,3,0.4898305580,3
4.939656267378070,1.422951574394850,6,2,0.3149344408,0
4.722739505126770,-1.326527121161010,4,-2,0.4912462135,0
-2.360903438386880,0.635495916317727,-2,1,0.2692428236,5
-0.230662327757682,4.660834526965370,2,5,0.4265093640,2
-3.304679566932930,-3.409266299701060,-5,-4,0.3095747896,5
1.472417569345620,3.533978732343380,3,4,0.4775575058,2
0.938473063164983,-4.254163509211230,-2,-5,0.4450045864,4
4.781949343841190,-3.112851702298390,3,-4,0.4134278533,1
4.587074274838070,-1.274770588446640,4,-1,0.4179169239,0
-0.492607654221554,1.177039068646470,0,1,0.3111015052,2
2.662374559905770,-3.901085982620230,0,-5,0.4587392599,4
3.083826101936230,1.186570482885570,4,1,0.5253093005,0
0.358857980676314,4.444816340226630,3,5,0.1818645376,2
2.378473759035840,-2.705973449627880,1,-3,0.1625128957,4
-0.949644077045531,-4.355940264132360,-3,-5,0.4503844132,4
